Categoria,Precio,Nombre_Perfume,Marca,Nombre_Cliente,Apellido_Cliente,Edad,Fecha_Compra,Email,Total,Cesta
Unisex,126,More Than Words,Tom Ford,Will,Clooney,26,2024-01-14,josue34@example.org,42,10
Unisex,287,Oud Minerale,Prada,Ben,Diesel,26,2024-01-24,sanmartinsaturnino@example.net,76,10
Unisex,467,Infusion Vanille - Prada,Tom Ford,Vin,Bale,23,2024-02-15,valverdeaaron@example.net,51,2
Unisex,133,Erba Pura,Xerjoff,Heath,Jackman,28,2024-01-30,maximiliano31@example.com,75,11
Unisex,321,Infusion Vanille - Prada,Tom Ford,Matt,Bale,19,2024-01-13,adrianescriva@example.net,3,7
Unisex,133,Erba Pura,Creed,Leonardo,Cruise,19,2024-02-26,wcordoba@example.com,50,3
Unisex,419,Infusion Vanille - Prada,Xerjoff,Tom,Jackman,33,2024-02-27,celiaacosta@example.net,69,3
Unisex,188,More Than Words,Tom Ford,Heath,Smith,21,2024-02-10,lara21@example.com,68,14
Unisex,266,Infusion Vanille - Prada,Xerjoff,Will,Diesel,19,2024-01-12,fporras@example.com,50,3
Unisex,260,Oud Minerale,Xerjoff,George,Washington,22,2024-01-07,coboadelina@example.net,80,11
Unisex,85,Millesime Imperial,Creed,Jake,Bale,29,2024-01-15,cerdaanacleto@example.net,25,6
Unisex,344,Millesime Imperial,Xerjoff,Russell,Gyllenhaal,34,2024-02-21,juan-bautista51@example.com,71,7
Unisex,54,Accento,Prada,Tom,Stiller,29,2024-01-30,ninojose-angel@example.org,47,3
Unisex,363,Accento,Xerjoff,Matt,Ledger,25,2024-02-21,jose-mari24@example.net,54,14
Unisex,215,Millesime Imperial,Tom Ford,Johnny,Depp,18,2024-01-26,bernadjose-luis@example.com,54,9
Unisex,57,Millesime Imperial,Tom Ford,Robert,Jackman,24,2024-01-04,candida52@example.com,26,12
Unisex,201,Millesime Imperial,Creed,Jake,Clooney,31,2024-01-31,mazaeligio@example.org,69,9
Unisex,466,Oud Minerale,Tom Ford,Jake,Downey,18,2024-02-04,bpacheco@example.com,11,14
Unisex,66,Erba Pura,Xerjoff,Matt,Jackman,27,2024-01-30,dominguezeleuterio@example.net,53,7
Unisex,191,More Than Words,Creed,Russell,Depp,29,2024-01-03,tamaritcarmelo@example.com,53,13
Unisex,338,Millesime Imperial,Tom Ford,Tom,Ledger,27,2024-02-04,florenciobarcelo@example.com,4,14
Unisex,327,Naxos,Creed,Robert,Pitt,20,2024-01-14,vicensgeorgina@example.net,35,10
Unisex,97,Naxos,Tom Ford,Tom,Jackman,33,2024-01-03,piedad93@example.com,80,7
Unisex,231,Infusion Vanille - Prada,Creed,Robert,Carrey,27,2024-02-04,coellonatanael@example.org,55,3
Unisex,358,Oud Minerale,Xerjoff,Vin,Gyllenhaal,28,2024-01-24,tosorio@example.org,74,2
Unisex,231,Infusion Vanille - Prada,Xerjoff,Will,Washington,29,2024-01-05,eulalia02@example.org,23,9
Unisex,86,More Than Words,Prada,Denzel,Clooney,24,2024-02-12,rosauraseco@example.net,48,5
Unisex,58,Erba Pura,Creed,Tom,Diesel,33,2024-02-13,isabelcazorla@example.com,75,4
Unisex,385,Infusion Vanille - Prada,Prada,Jake,Hanks,21,2024-01-06,leyreberenguer@example.com,46,14
Unisex,329,Oud Minerale,Creed,Johnny,Damon,31,2024-02-25,eugeniapi@example.net,18,14
Unisex,275,Millesime Imperial,Xerjoff,Tom,Clooney,32,2024-01-25,kherrera@example.net,59,12
Unisex,239,Infusion Vanille - Prada,Tom Ford,Tom,Reeves,20,2024-01-06,marc48@example.com,14,12
Unisex,347,More Than Words,Creed,Jake,Diesel,19,2024-02-27,soraya39@example.net,34,5
Unisex,334,More Than Words,Xerjoff,Robert,Diesel,33,2024-02-25,bmoraleda@example.com,33,1
Unisex,73,Infusion Vanille - Prada,Xerjoff,Brad,Downey,22,2024-02-27,cmesa@example.com,1,12
Unisex,96,More Than Words,Prada,Heath,Clooney,34,2024-01-27,pererasilvia@example.net,76,8
Unisex,167,More Than Words,Xerjoff,Robert,Jackman,34,2024-01-20,ibarraleonor@example.org,46,6
Unisex,274,Accento,Prada,George,Bale,18,2024-01-15,pacablanca@example.org,8,14
Unisex,387,Millesime Imperial,Prada,Brad,Ledger,27,2024-01-05,zalmansa@example.net,50,6
Unisex,205,Naxos,Tom Ford,Daniel,Crowe,28,2024-02-02,eribes@example.com,39,9
Unisex,352,Erba Pura,Prada,Russell,Bale,20,2024-02-22,camat@example.net,41,7
Unisex,290,Oud Minerale,Tom Ford,George,Smith,20,2024-02-15,fabio35@example.net,61,4
Unisex,320,Millesime Imperial,Xerjoff,Tom,Jackman,33,2024-02-16,lupita48@example.net,50,8
Unisex,120,Millesime Imperial,Creed,Will,Reeves,25,2024-01-23,guadalupegalvez@example.org,27,14
Unisex,285,Infusion Vanille - Prada,Creed,Matt,Downey,27,2024-01-23,jsebastian@example.net,42,6
Unisex,266,Oud Minerale,Tom Ford,Hugh,Diesel,28,2024-02-03,natalia23@example.org,0,3
Unisex,433,Erba Pura,Xerjoff,Matt,Ledger,27,2024-02-16,tellezgertrudis@example.net,19,14
Unisex,261,Erba Pura,Prada,Will,Pitt,31,2024-02-08,zorrillaariel@example.org,13,1
Unisex,331,Accento,Creed,Denzel,Hanks,28,2024-01-25,moratacarlota@example.com,14,14
